,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
10,2,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,osteosarcoma,myelodysplasia,leukaemia,mouse models,cancer genetics,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
11,2,2015,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Pharmaceutical Sciences,drug delivery systems,pharmacokinetics,cancer chemotherapeutic agents,cancer metastasis,nanotechnology,111504.0,11.0,MEDICAL AND HEALTH SCIENCES
12,2,2015,Basic Science,NEUROSCIENCES,Central Nervous System,neuroinflammation,complement activation,therapeutic target,motor neuron disease (MND),Parkinson disease,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
13,2,2015,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),cardiovascular disease prevention,prevention,cardiovascular risk,epidemiology,public health,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
14,2,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,protein kinases,signal transduction,cell death,necrosis,structural biology,60111.0,6.0,BIOLOGICAL SCIENCES
15,2,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,arbovirus,mosquito-borne disease,viral glycoproteins,therapeutics,virus pathogenesis,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
16,2,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,T cell memory,T cells,viral immunity,Herpes simplex virus (HSV),cellular immunology,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
17,2,2015,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),lung development,epigenetics,lung disease,stem cell biology,respiratory epithelium,60403.0,6.0,BIOLOGICAL SCIENCES
18,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,patient outcomes,qualitative research,qualitative study,dialysis,kidney failure,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
19,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Environmental and Occupational Health and Safety,environmental health,environmental epidemiology,environmental pollutants,environmental risk factors,epidemiology,111705.0,11.0,MEDICAL AND HEALTH SCIENCES
20,2,2015,Clinical Medicine and Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,respiratory physiology,asthma,chronic obstructive pulmonary disease (COPD),biomedical engineering,monitoring,111699.0,11.0,MEDICAL AND HEALTH SCIENCES
21,2,2015,Basic Science,IMMUNOLOGY,Transplantation Immunology,immune reconstitution,age-related,haematopoietic stem cell transplantation,thymus,bone marrow,110708.0,11.0,MEDICAL AND HEALTH SCIENCES
22,2,2015,Public Health,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),primary prevention,population health,atherosclerosis,calcification,cardiovascular disease prevention,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
23,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,social determinants of health,osteoporosis,multidisciplinary,translational research,social context,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
24,2,2015,Basic Science,GENETICS,Genomics,gene expression,statistics,disease association,genomics,programming,60408.0,6.0,BIOLOGICAL SCIENCES
25,2,2015,Basic Science,IMMUNOLOGY,Humoural Immunology and Immunochemistry,immunologic memory,infectious diseases,B cells,antibody,epigenetics,110705.0,11.0,MEDICAL AND HEALTH SCIENCES
26,2,2015,Basic Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",estradiol,animal model,schizophrenia,prepulse inhibition,microarrays,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
27,2,2015,Public Health,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,depression,prevention,nutrition,immune development,immune dysfunction,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
28,2,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),microrna,regeneration,fibrosis,developmental biology,transcriptional regulation,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
29,2,2015,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,dementia,mild cognitive impairment,Parkinson disease,Lewy body,diagnostic methods,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
30,2,2015,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,neonatal intensive care (NICU),early intervention,early brain development,physiotherapy,neurodevelopment,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
31,2,2015,Basic Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,glaucoma,macular degeneration,stem cells,genetics,retinal dystrophy,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
32,2,2015,Basic Science,BIOMEDICAL ENGINEERING,Biomaterials,neurodegeneration,mechanical properties,polymerisation,glial cells,eye disease,90301.0,9.0,ENGINEERING
33,2,2015,Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),epigenetics,chromatin,DNA methylation,enhancer elements,sequencing,60404.0,6.0,BIOLOGICAL SCIENCES
34,2,2015,Basic Science,BIOMEDICAL ENGINEERING,Medical Devices,biomedical engineering,skin disease,diagnostic techniques,transdermal,drug delivery systems,90304.0,9.0,ENGINEERING
35,2,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,parasitic disease,schistosomiasis,helminth infection,genomics,bioinformatics,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
36,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,child health,maternal mental health,domestic violence,health inequalities,parenting,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
37,2,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,T cell receptor,T cell activation,membrane protein,immune complex,receptor signalling,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
38,2,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),hypertension,stress,brain,angiotensin II,immunohistochemistry,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
39,2,2015,Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),epigenetics,control of gene expression,DNA methylation,chromatin,muscular dystrophy,60404.0,6.0,BIOLOGICAL SCIENCES
40,2,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,fibrosis,asthma,chronic obstructive pulmonary disease (COPD),novel therapeutic agents,remodelling,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
41,2,2015,Public Health,STATISTICS,Biostatistics,malaria control,antimalarial,population health,biostatistics,infectious diseases,10402.0,1.0,MATHEMATICAL SCIENCES
42,2,2015,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,acute stroke,intracranial pressure,experimental,ischaemia/reperfusion,stroke rehabilitation,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
43,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,accidental falls,physical activity,mobility,prevention,healthy ageing,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
44,2,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,non-small cell lung cancer,clinical research,clinical trial,molecular markers,immunology,111207.0,11.0,MEDICAL AND HEALTH SCIENCES
45,2,2015,Clinical Medicine and Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,stem cells,regenerative medicine,cancer biology,musculoskeletal disorders,tumour biology,111699.0,11.0,MEDICAL AND HEALTH SCIENCES
46,2,2015,Basic Science,GENETICS,Gene Expression (incl. Microarray and other genome-wide approaches),bioinformatics,cancer prognosis,melanoma,statistics,proteomics,60405.0,6.0,BIOLOGICAL SCIENCES
47,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,vaccine-preventable diseases,child health,influenza,Streptococcus pneumoniae,policy making,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
48,2,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,child health,clinical trial,infectious diseases,vaccination policy,Aboriginal health,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
49,2,2015,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),brain imaging,dementia,attention deficit hyperactivity disorder (ADHD),pregnancy complications,depression,60412.0,6.0,BIOLOGICAL SCIENCES
50,2,2015,Basic Science,NEUROSCIENCES,Sensory Systems,functional genomics,Drosophila melanogaster,mouse models,sensory,ageing,110906.0,11.0,MEDICAL AND HEALTH SCIENCES
51,2,2015,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,stroke,thrombolysis,endovascular technology,reperfusion,brain imaging,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
52,2,2015,Basic Science,GENETICS,Genomics,bioinformatics,cancer,genomics,sequence analysis,cancer biology,60408.0,6.0,BIOLOGICAL SCIENCES
53,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,hepatitis C infection,injecting drug use,epidemiology,treatment,health services,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
54,2,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Geriatrics and Gerontology,dementia,prevention,clinical trial,neuroimaging,epidemiology,110308.0,11.0,MEDICAL AND HEALTH SCIENCES
55,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,suicide,adolescence,young adults,longitudinal cohort study,mental health,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
56,1,2015,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,stroke,traumatic brain injury (TBI),magnetic resonance imaging (MRI),functional magnetic resonance imaging (fMRI),cognitive impairment,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
57,1,2015,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),exercise test,blood pressure,hypertension,outcome,guidelines,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
58,1,2015,Clinical Medicine and Science,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,injury epidemiology,fracture,traumatic injury,recovery,developing countries,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
59,1,2015,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Health and Community Services,human immunodeficiency virus (HIV),clinical test,health economics,mathematical modelling,health services research,111708.0,11.0,MEDICAL AND HEALTH SCIENCES
60,1,2015,Public Health,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),statistical genetics,genetic mapping,cardiovascular risk,cardiovascular risk factors,birth weight,60412.0,6.0,BIOLOGICAL SCIENCES
61,1,2015,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,glaucoma,biomarkers,retinal ganglion cell,clinical test,disease progression,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
62,1,2015,Clinical Medicine and Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),regenerative medicine,tissue engineering,chronic diseases,oral health,quality of life,100404.0,10.0,TECHNOLOGY
63,1,2015,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,mild cognitive impairment,exercise therapy,neuroscience,cognitive function,ageing,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
64,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,vaccine-preventable diseases,child health,influenza,Streptococcus pneumoniae,policy making,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
65,1,2015,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,Aboriginal health,cancer research,cancer care,supportive care,indigenous Australians,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
66,1,2015,Basic Science,NEUROSCIENCES,Central Nervous System,depression,bipolar disorder,schizophrenia,stress proteins,molecular basis of disease,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
67,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,enteric infections,indigenous health,child health,translational research,diarrhoeal disease,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
68,1,2015,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,fetal development,amniotic fluid,gene expression,RNA,DNA,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
69,1,2015,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Clinical Pharmacology and Therapeutics,pharmaceutics,pharmacology,drug transport,drug delivery,albumin,111502.0,11.0,MEDICAL AND HEALTH SCIENCES
70,1,2015,Public Health,PSYCHOLOGY,"Health, Clinical and Counselling Psychology",motivation,behaviour change,physical activity,cardiovascular disease prevention,attitudes,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
71,1,2015,Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",dementia,diagnosis,emotion,neurophysiology,neuroimaging,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
72,1,2015,Public Health,APPLIED ETHICS,Medical Ethics,ethics,infectious diseases,human immunodeficiency virus (HIV),public health policy,sexual health,220106.0,22.0,PHILOSOPHY AND RELIGIOUS STUDIES
73,1,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,RNA,gene regulation,RNA metabolism,RNA binding proteins,protein biochemistry,60199.0,6.0,BIOLOGICAL SCIENCES
74,1,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,cancer biology,therapeutic agents,cell death,mouse models,chemotherapy,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
75,1,2015,Basic Science,NEUROSCIENCES,Central Nervous System,thalamus,cortex,schizophrenia and related disorders,attention deficits,electrophysiology,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
76,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Community Child Health,child health,malnutrition,statistics,developing countries,child development,111704.0,11.0,MEDICAL AND HEALTH SCIENCES
77,1,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,naevi,melanoma,early detection,early tumour detection,sequencing,111207.0,11.0,MEDICAL AND HEALTH SCIENCES
78,1,2015,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,neuroimaging,brain pathways,Huntington's disease,Parkinson disease,Friedreich ataxia,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
79,1,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,RAS oncogenes,cancer biology,pancreatic cancer,metabolic control,ubiquitination,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
80,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,injury,trauma,health care utilisation,rehabilitation,outcomes research,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
81,1,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Oncology and Carcinogenesis not elsewhere classified,breast cancer,cancer metastasis,cancer progression,cancer therapy,cancer prognosis,111299.0,11.0,MEDICAL AND HEALTH SCIENCES
82,1,2015,Public Health,HUMAN MOVEMENT AND SPORTS SCIENCE,Human Movement and Sports Science not elsewhere classified,sedentary behaviour,physical activity,measurement,intervention,evaluation,110699.0,11.0,MEDICAL AND HEALTH SCIENCES
83,1,2015,Basic Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,obesity,cardiovascular disease,autonomic nervous system,diabetes,energy balance,111699.0,11.0,MEDICAL AND HEALTH SCIENCES
84,1,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,innate immunity,helminth infection,inflammation,neuroimmunology,cell death,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
85,1,2015,Basic Science,IMMUNOLOGY,Tumour Immunology,immunotherapy,multiple myeloma,immune surveillance,immune suppression,immune evasion,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
86,1,2015,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),cardiac arrhythmia,cardiomyopathy,congestive heart failure,mechanisms,pathological diagnosis,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
87,1,2015,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,pre-eclampsia,echocardiography,obstetrics,haemodynamics,critical care medicine,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
88,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,environmental epidemiology,infectious diseases,modelling,mapping,leptospirosis,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
89,1,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,melanoma,tumour biology,cancer genetics,cancer metastasis,molecular basis of disease,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
90,1,2015,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,cataract,diabetic retinopathy,blindness,vision loss,clinical trial,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
91,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,alcohol consumption,alcohol use disorders,data linkage,morbidity,mortality,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
92,1,2015,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,stroke,treatment,health care utilisation,public health,outcome,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
93,1,2015,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,diabetic retinopathy,screening,guidelines,intervention study,primary care,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
94,1,2015,Clinical Medicine and Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Toxicology (incl. Clinical Toxicology),venom,toxins,toxic injury mechanisms,envenomation,antibody therapy,111506.0,11.0,MEDICAL AND HEALTH SCIENCES
95,1,2015,Clinical Medicine and Science,HUMAN MOVEMENT AND SPORTS SCIENCE,Human Movement and Sports Science not elsewhere classified,knee,psychology,participation,physical activity,sports injury,110699.0,11.0,MEDICAL AND HEALTH SCIENCES
96,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health and Community Services,equity,social determinants of health,population health,implementation,health policy,111708.0,11.0,MEDICAL AND HEALTH SCIENCES
97,1,2015,Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),epigenetics,genomics,bioinformatics,neurodevelopmental disorders,neurogenetics,60404.0,6.0,BIOLOGICAL SCIENCES
98,1,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),immune modulation,lymphoma,human immunodeficiency virus (HIV),Epstein-Barr virus (EBV),human papillomavirus (HPV),111204.0,11.0,MEDICAL AND HEALTH SCIENCES
99,1,2015,Basic Science,HUMAN MOVEMENT AND SPORTS SCIENCE,Motor Control,hand function,motor control,neurophysiology,neuroimaging,transcranial magnetic stimulation (TMS),110603.0,11.0,MEDICAL AND HEALTH SCIENCES
100,1,2015,Basic Science,NUTRITION AND DIETICS,Nutritional Physiology,nutrition,ageing,metabolism,health,obesity,111103.0,11.0,MEDICAL AND HEALTH SCIENCES
101,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,thyroid cancer,RAS transformation,RNA,genomics,oncogenes,110306.0,11.0,MEDICAL AND HEALTH SCIENCES
102,1,2015,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,hypoxic-ischaemic encephalopathy,stem cell therapy,neuroimmunology,cerebral palsy,cord blood,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
103,1,2015,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,pharmacoepidemiology,health economics,adherence,health systems,policy evaluation,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
104,1,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,liver cancer,prevention,molecular basis of disease,gene expression,fibrosis,111207.0,11.0,MEDICAL AND HEALTH SCIENCES
105,1,2015,Basic Science,NEUROSCIENCES,Sensory Systems,attention deficit hyperactivity disorder (ADHD),thalamus,sensory systems,sensory cortex,neuronal response,110906.0,11.0,MEDICAL AND HEALTH SCIENCES
106,1,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,T cells,epitopes,influenza virus,vaccine,immunology,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
107,1,2015,Clinical Medicine and Science,IMMUNOLOGY,Tumour Immunology,T cell immunity,T cell receptor,lymphoma,antigen presentation,survival,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
108,1,2015,Basic Science,CLINICAL SCIENCES,Nephrology and Urology,diabetic nephropathy,chronic renal failure,renal fibrosis,microrna,gene therapy,110312.0,11.0,MEDICAL AND HEALTH SCIENCES
109,1,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cell Development, Proliferation and Death",diabetes mellitus,pancreatic beta cell,cell death,insulin secretion,stress response,60103.0,6.0,BIOLOGICAL SCIENCES
110,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,pregnancy,maternal health,Aboriginal health,polycystic ovarian syndrome (PCOS),refugee health,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
111,1,2015,Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",bipolar disorder,depression,neuroimaging,glutamate,dopamine,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
112,1,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),structural biology,cancer,electron microscopy,X-ray crystallography,transcription,60112.0,6.0,BIOLOGICAL SCIENCES
113,1,2015,Clinical Medicine and Science,COGNITIVE SCIENCE,Cognitive Science not elsewhere classified,cognitive decline,sleep disturbance,circadian rhythms,metabolic disorders,cardiovascular risk,,,
114,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,patient safety,medical education,regulation,workforce policy,quality improvement,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
115,1,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),sarcoma,resistance,xenografts,cell death,mutation analysis,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
116,1,2015,Public Health,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),outcomes research,cardiology,sex differences,gender differences,health status,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
117,1,2015,Basic Science,NEUROSCIENCES,Central Nervous System,multiple sclerosis (MS),oligodendrocytes,remyelination,myelination,repair,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
118,1,2015,Basic Science,NEUROSCIENCES,Central Nervous System,amyotrophic lateral sclerosis,pathogenic mechanisms,patch clamp,motor cortex,molecular basis of disease,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
119,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,human immunodeficiency virus (HIV),antiretroviral therapy,clinical outcome,surveillance,clinical trial,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
120,1,2015,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,neonatology,resuscitation,ventilation,very preterm birth,congenital defects,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
121,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),schizophrenia and related disorders,smoking intervention,diabetes mellitus,obesity,metabolic syndrome,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
122,1,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,virus pathogenesis,bone biology,osteoclastogenesis,epidemic polyarthritis,skeletal disease,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
123,1,2015,Basic Science,BIOMEDICAL ENGINEERING,Medical Devices,skin disease,histopathology,blood,biosensor,molecular diagnostics,90304.0,9.0,ENGINEERING
124,1,2015,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,cancer genetics,endometrial cancer,statistical genetics,genetic epidemiology,functional genomics,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
125,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,cerebral palsy,neuroprotection,evaluation studies,epidemiology,congenital defects,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
126,1,2015,Basic Science,IMMUNOLOGY,Transplantation Immunology,cellular immunity,cytomegalovirus (CMV) infection,CD8 T lymphocytes,pre-clinical studies,transplantation,110708.0,11.0,MEDICAL AND HEALTH SCIENCES
127,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),schizophrenia and related disorders,remediation,cognitive outcome,social cognition,randomised controlled trial (RCT),110319.0,11.0,MEDICAL AND HEALTH SCIENCES
